RE,MW,Norm,Smooth,Derivative,Calibration,MeanRSQ,MeanRMSE
 1 , 0 , 3 , 1 , 1 , 3 , 4.32978851815584E-02 , 0.143522490298627 
 1 , 0 , 3 , 1 , 2 , 1 , 1.47882039620012E-02 , 0.11646028900633 
 1 , 0 , 3 , 1 , 2 , 3 , 3.83178810293865E-02 , 0.1352027010961 
 1 , 1 , 0 , 0 , 0 , 1 , 3.43738068432461E-31 , 0.138520596915195 
 1 , 1 , 0 , 0 , 0 , 3 , 5.72664095426797E-34 , 0.148076073726384 
 1 , 1 , 0 , 0 , 1 , 1 , 4.16242750686448E-30 , 0.104552794502572 
 1 , 1 , 0 , 0 , 1 , 3 , 1.76641944577704E-30 , 0.09490550262349 
 1 , 1 , 0 , 0 , 2 , 1 , 6.87429289175276E-32 , 0.124763888010897 
 1 , 1 , 0 , 0 , 2 , 3 , 5.13681368345859E-30 , 0.125147070446637 
 1 , 1 , 0 , 1 , 0 , 1 , 0 , 0.100904539937208 
 1 , 1 , 0 , 1 , 0 , 3 , 1.58364753848717E-31 , 0.118040076687985 
 1 , 1 , 0 , 1 , 1 , 1 , 3.09405426403301E-30 , 0.117769762653853 
 1 , 1 , 0 , 1 , 1 , 3 , 5.57877942944904E-31 , 9.32573063048591E-02 
 1 , 1 , 0 , 1 , 2 , 1 , 3.11766896418194E-30 , 0.108636778273936 
 1 , 1 , 0 , 1 , 2 , 3 , 2.03667127759603E-30 , 0.114419318110274 
 1 , 1 , 1 , 0 , 0 , 1 , 1.96076441377098E-31 , 0.117130574871902 
 1 , 1 , 1 , 0 , 0 , 3 , 5.29348067849083E-32 , 0.125933483500468 
 1 , 1 , 1 , 0 , 1 , 1 , 5.77695389104779E-32 , 0.108043871733555 
 1 , 1 , 1 , 0 , 1 , 3 , 1.38280235124924E-31 , 0.12779962389899 
 1 , 1 , 1 , 0 , 2 , 1 , 0 , 0.126461484855198 
 1 , 1 , 1 , 0 , 2 , 3 , 4.390768692499E-31 , 0.1086322218235 
 1 , 1 , 1 , 1 , 0 , 1 , 2.47845739861087E-30 , 0.108763451923004 
 1 , 1 , 1 , 1 , 0 , 3 , 4.21551979385101E-31 , 0.117226857903767 
 1 , 1 , 1 , 1 , 1 , 1 , 8.95356225695978E-30 , 0.10326871280796 
 1 , 1 , 1 , 1 , 1 , 3 , 6.23060058372808E-31 , 0.107749249646802 
 1 , 1 , 1 , 1 , 2 , 1 , 8.20966454455428E-31 , 9.43564814124269E-02 
 1 , 1 , 1 , 1 , 2 , 3 , 3.3472783601514E-30 , 0.129888550835824 
 1 , 1 , 2 , 0 , 0 , 1 , 3.5620392710606E-30 , 0.13099634119403 
 1 , 1 , 2 , 0 , 0 , 3 , 4.11158037376229E-31 , 0.142199854005412 
 1 , 1 , 2 , 0 , 1 , 1 , 9.71635823292258E-31 , 0.135091976269144 
 1 , 1 , 2 , 0 , 1 , 3 , 4.57501260045038E-34 , 0.151314188245435 
 1 , 1 , 2 , 0 , 2 , 1 , 4.96339855156054E-30 , 0.122540595552937 
 1 , 1 , 2 , 0 , 2 , 3 , 2.56492379114174E-31 , 0.097618572456902 
 1 , 1 , 2 , 1 , 0 , 1 , 3.64496080701133E-31 , 0.11802349667715 
 1 , 1 , 2 , 1 , 0 , 3 , 0 , 0.124555707073998 
 1 , 1 , 2 , 1 , 1 , 1 , 3.09575548702406E-30 , 0.123473556289457 
 1 , 1 , 2 , 1 , 1 , 3 , 1.05969254459429E-30 , 0.145198552748153 
 1 , 1 , 2 , 1 , 2 , 1 , 5.513135465085E-30 , 0.118306741249834 
 1 , 1 , 2 , 1 , 2 , 3 , 1.44473333487956E-31 , 0.119100392535942 
 1 , 1 , 3 , 0 , 0 , 1 , 2.5451547020359E-31 , 0.142316011693506 
 1 , 1 , 3 , 0 , 0 , 3 , 2.72362213261373E-31 , 0.14433960985994 
 1 , 1 , 3 , 0 , 1 , 1 , 4.67245448365033E-32 , 0.1318564646981 
 1 , 1 , 3 , 0 , 1 , 3 , 8.9714364112188E-31 , 0.154336772196033 
 1 , 1 , 3 , 0 , 2 , 1 , 1.54631702572748E-30 , 0.114756779981858 
 1 , 1 , 3 , 0 , 2 , 3 , 3.38332398372571E-31 , 0.157486269153561 
 1 , 1 , 3 , 1 , 0 , 1 , 2.21287630681905E-30 , 0.12584098590546 
 1 , 1 , 3 , 1 , 0 , 3 , 0 , 0.115797322743114 
 1 , 1 , 3 , 1 , 1 , 1 , 1.19375922709268E-33 , 0.111909580402085 
 1 , 1 , 3 , 1 , 1 , 3 , 0 , 0.117258995302695 
 1 , 1 , 3 , 1 , 2 , 1 , 4.43466536338782E-30 , 0.120868836142808 
 1 , 1 , 3 , 1 , 2 , 3 , 1.78936029375693E-32 , 0.168243688643451 
